uid,avg_turnover_rub_1_month,avg_turnover_rub_3_month,avg_turnover_rub_6_month,pnl_rub
18601,-0.0761772761659576,-0.0804788588951367,-0.080745955113994,0.04
14844,-0.0761772725557999,-0.0313423054169717,-0.0409464270845121,0.05
18625,-0.0761772216010029,-0.0804788021153563,-0.0202232538092456,0.07
1991,-0.076177240683265,-0.0804788219721793,-0.0786056930927739,0.09
10426,-0.0761772228387713,-0.0682250852049317,-0.0658651043714369,0.11
123,-0.0761768235553321,-0.080478387912762,-0.0810362747403055,0.15
929,-0.0761769981838163,0.0170917229913868,0.0204879315241076,0.25
6734,-0.076123556091377,-0.0804229582890362,-0.0809800280410627,0.255
21953,-0.0761762844040696,-0.0747541873946399,-0.0694098541964947,0.34
14710,-0.0761767923016813,-0.076040326720745,-0.0765327930943992,0.4
17611,-0.0761769706434706,-0.0804785409713004,-0.0810364300550451,0.42
14198,-0.0761766993659079,-0.0804782586824113,-0.0810361436049995,0.47
21957,-0.0761765853880727,-0.0804781400781442,-0.0810360232524138,0.56
14789,-0.0761768657426032,-0.0732859021160714,-0.071318317720327,0.57
20680,-0.076176825515132,-0.0563304760915085,-0.0565324040254106,0.61
17402,-0.0761767707438826,-0.0804145584593495,-0.0809659936225728,0.66
20616,-0.0761767413468844,-0.076881394158172,-0.0773862585162449,0.71
4754,-0.0761767231929486,-0.0804782834766065,-0.077462466681151,0.72
1191,-0.0761766246872177,-0.0803106741266996,-0.0809015039148309,0.84
460,-0.0761762696539968,-0.0729160348746117,-0.0657206922945555,0.84
19583,-0.0761765938461564,-0.0804781488795468,-0.0810360321835559,0.9
18960,-0.0761765897202619,-0.0652042674705686,-0.0695113446481314,0.9
383,-0.076080691657788,-0.0803783539612036,-0.0431057663112287,0.92
21614,-0.0761765420661805,-0.0783000056645521,-0.0782832949831989,0.95
5106,-0.0759642139430422,-0.0802571483429626,-0.0808117739281643,1.015
16418,-0.0761757688735532,-0.0804772904207882,-0.0810351610704514,1.2
20512,-0.0761761931186541,-0.0780246093685149,-0.0785463256028279,1.36
285,-0.0760352880455827,-0.0792060877393891,-0.0698792209899422,1.37
1565,-0.0761762685193759,-0.079386969604456,-0.0732383491324251,1.39
22251,-0.076175293570508,-0.0804767958248943,-0.081034580110549,1.57
20386,-0.0761753643295985,-0.0791450261303232,-0.079683258174115,2.39
18615,-0.0761741903063215,-0.0804756477785225,-0.0751841210568727,2.435
22110,-0.0761750541654802,-0.0804744066734181,-0.0810320825057672,2.79
4786,-0.0761716881576083,-0.0662117737996431,-0.0550727872418993,2.84
5743,-0.0761733369681937,-0.0750885202859241,-0.0755669562967045,3.08
1226,-0.0761387626944025,0.0517163304675123,0.0531070960140623,3.35
3563,-0.0761726902342324,-0.0804740868175666,-0.0810319102436409,3.58
1463,-0.0760468442634585,-0.0803431326799096,-0.080899025740729,3.79
4078,-0.0761743157335139,-0.0804757782968834,-0.0810336266566709,3.79
4647,-0.0760415878738788,-0.071213202674115,-0.073950418776661,3.95
14770,-0.076172058250344,-0.0804734291810557,-0.0713947667991608,4.13
